source_path,base_experiment_id,sim_economy_mode,sim_market_spend_mode,sim_price_band_mode,sim_market_choice_mode,fresh_gate_pass,ml_gate_pass,actual_balanced_none,actual_balanced_v9,actual_balanced_delta,actual_power_none,actual_power_v9,actual_power_delta,predicted_balanced_none,predicted_balanced_v9,predicted_balanced_delta,predicted_power_none,predicted_power_v9,predicted_power_delta,recommendation_score
logs/sim/economy_choice_reward039_price240_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.5583,0.6083,0.05,0.6417,0.6667,0.025,0.5354,0.6303,0.0948,0.6419,0.6719,0.03,2.9622
logs/sim/single_s4_growth_access_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_rank_runtime_position_probe_v1_single_s4,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5175,0.58,0.0625,0.5775,0.625,0.0475,0.5547,0.5778,0.0231,0.5684,0.6162,0.0478,2.9518
logs/sim/runtime_growth_price_boss105_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.6,0.6333,0.0333,0.7083,0.7333,0.025,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,2.9435
logs/sim/prototype_s1_red035_v91_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.9292,0.9292,0.0,0.9333,0.9333,0.0,0.9299,0.9417,0.0119,0.9349,0.9389,0.004,2.9254
logs/sim/economy_reward034_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,0,0.525,0.6333,0.1083,0.6833,0.7333,0.05,0.4606,0.6442,0.1836,0.6582,0.6267,-0.0315,2.8875
logs/sim/runtime_s4_rank_weight_v1_v9_lift_first_reroll_free_path_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,first_reroll_free_v1,growth_access_v1,affordable_alternative_v1,1,1,0.55,0.5917,0.0417,0.625,0.6417,0.0167,0.5351,0.5967,0.0617,0.6048,0.6497,0.0449,2.834
logs/sim/runtime_s4_rank_weight_v1_growth_access_confirm_r240_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5375,0.5875,0.05,0.5583,0.5875,0.0292,0.5075,0.5331,0.0256,0.5573,0.5957,0.0383,2.8259
logs/sim/single_s4_growth_access_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_rank_runtime_position_probe_v1_single_s4,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.5583,0.5917,0.0333,0.5167,0.5667,0.05,0.5547,0.5778,0.0231,0.5684,0.6162,0.0478,2.8252
logs/sim/station_curve_growth_gate_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5417,0.55,0.0083,0.5917,0.6417,0.05,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,2.8185
logs/sim/run_modifier_candidate_t104_r112_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,1,0.4917,0.5417,0.05,0.6167,0.675,0.0583,0.5286,0.531,0.0025,0.6218,0.6284,0.0067,2.7641
logs/sim/runtime_s4_rank_weight_v1_growth_access_seed91628_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.47,0.52,0.05,0.5375,0.5675,0.03,0.5075,0.5331,0.0256,0.5573,0.5957,0.0383,2.728
logs/sim/runtime_s4_rank_weight_v1_growth_access_final_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.475,0.52,0.045,0.5375,0.57,0.0325,0.5075,0.5331,0.0256,0.5573,0.5957,0.0383,2.718
logs/sim/runtime_s4_rank_weight_v1_growth_access_seed91627_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,gated_known_cost,reroll_slot_sell_v1,growth_access_v1,affordable_alternative_v1,1,1,0.4725,0.52,0.0475,0.54,0.57,0.03,0.5075,0.5331,0.0256,0.5573,0.5957,0.0383,2.718
logs/sim/run_modifier_pressure_market_probe_t108_r112_v9_v10_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.425,0.4583,0.0333,0.45,0.525,0.075,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,2.381
logs/sim/economy_runtime_v91_market_probe_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.525,0.6333,0.1083,0.6333,0.6583,0.025,0.6055,0.6416,0.0361,0.681,0.5867,-0.0944,2.3668
logs/sim/economy_catalog_normalized_reward040_price220_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.5417,0.6333,0.0917,0.6333,0.6667,0.0333,0.6055,0.6416,0.0361,0.681,0.5867,-0.0944,2.3334
logs/sim/economy_choice_reward038_price240_catalog_flags_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_value_flags_v1,affordable_alternative_v1,1,0,0.5333,0.5917,0.0583,0.6417,0.6833,0.0417,0.5608,0.5938,0.033,0.6668,0.6411,-0.0257,2.3021
logs/sim/economy_jester_hook_price_r400_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.5225,0.575,0.0525,0.6075,0.6125,0.005,0.5516,0.5705,0.019,0.6492,0.6482,-0.0011,2.1283
logs/sim/economy_runtime_v91_market_v11_raw_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.575,0.575,0.0,0.65,0.7333,0.0833,0.6055,0.6416,0.0361,0.681,0.5867,-0.0944,2.0793
logs/sim/economy_runtime_v91_market_probe_raw_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,catalog_normalized_v1,affordable_alternative_v1,1,0,0.5667,0.5917,0.025,0.6583,0.6583,0.0,0.6055,0.6416,0.0361,0.681,0.5867,-0.0944,1.8709
